Sl.No,State_Name,Institution_Name,Institution_Type
8681,Rajasthan,SHRI R.N.MEMORIAL MAHILA STC (Id: S-7647),Teacher Training
8682,Rajasthan,"SHRI SADGURU SEVA MANDAL POLYTECHNIC COLLEGE ABUROAD, SIROHI (Id: S-2677)",Technical/Polytechnic
8683,Rajasthan,SHRI SAI BABA NURSING SCHOOL JAIPUR (Id: S-5184),Nursing
8684,Rajasthan,"SHRI SHIVA STC COLLEGE BHOPALGHAR, JODHPUR (Id: S-12517)",Teacher Training
8685,Rajasthan,SHRI SHYAM SHIKSHAK PRASHIKSHAN VIDYALAYA HANUMANGARH (Id: S-7649),Teacher Training
8686,Rajasthan,"SHRI TIRUPATI BALAJI POLYTECNIC COLLEGE, KOTA (Id: S-2678)",Technical/Polytechnic
8687,Rajasthan,SHRI TRIPURA SUNDRI NURSING SCHOOL BANSWARA (Id: S-5185),Nursing
8688,Rajasthan,"SHRI USB POLYTECHNIC COLLEGE ABUROAD, SIROHI (Id: S-2679)",Technical/Polytechnic
8689,Rajasthan,SHRI VINAYAK INSTITUTE OF NURSING JAIPUR (Id: S-5186),Nursing
8690,Rajasthan,"SHYAM COLLEGE OF ENGINEERING and TECHNOLOGY, DAUSA (Id: S-12111)",Technical/Polytechnic
8691,Rajasthan,SIDDHARTH INSTITUTE OF NURSING JAIPUR (Id: S-5189),Nursing
8692,Rajasthan,"SIDDHARTH INSTITUTE OF TECHNOLOGY, JAIPUR (Id: S-2680)",Technical/Polytechnic
8693,Rajasthan,SIDDHI VINAYAK TT SCHOOL (Id: S-7650),Teacher Training
8694,Rajasthan,"SIDHI VINAYAK POLYTECHNIC COLLEGE, ALWAR (Id: S-2681)",Technical/Polytechnic
8695,Rajasthan,SIKAR NURSING TRAINING AND RESEARCH INSTITUTE SIKAR (Id: S-5190),Nursing
8696,Rajasthan,"SLBS POLYTECHNIC COLLEGE, JODHPUR (Id: S-2682)",Technical/Polytechnic
8697,Rajasthan,S.M.S. TEACHER TRAINING SCHOOL AJMER (Id: S-7611),Teacher Training
8698,Rajasthan,SMT. PANI DEVI GOLECHHA BSTC SCHOOL BARMER (Id: S-7651),Teacher Training
8699,Rajasthan,SMT PHOOLA DEVI MEMORIAL INSTITUTE OF MED. and NURSING EDUCATION JAIPUR (Id: S-5191),Nursing
8700,Rajasthan,"SMT RAMKUMARI ELEMENTARY SHIKSHAK PRASHIKSHAN COLLEGE, JHUNJHUNU (Id: S-12540)",Teacher Training
8701,Rajasthan,S N SCHOOL OF NURSING SRI GANGANAGAR (Id: S-5153),Nursing
8702,Rajasthan,SOBHASARIA TECHNICAL INSTITUTE OF EDUCATION AND RESEARCH (Id: S-324),PGDM Institutes
8703,Rajasthan,SONI NURSING SCHOOL JAIPUR (Id: S-5192),Nursing
8704,Rajasthan,"SORABH COLLEGE OF ENGINEERING and TECHNOLOGY, KARAULI (Id: S-2685)",Technical/Polytechnic
8705,Rajasthan,SRI ADARSH MAHILA ELE. TEACHERS EDUCATION SCHOOL (Id: S-7652),Teacher Training
8706,Rajasthan,SRI GANGANAGAR NURSING SCHOOL SRI GANGANAGAR (Id: S-5193),Nursing
8707,Rajasthan,"SRI GANGANAGAR SHLKSHAK PRASHLKSHAN VIDHYALAYA (BSTC) TANTIA, SRIGANGANAGAR (Id: S-7653)",Teacher Training
8708,Rajasthan,SRI GOVIND HARIDEV JOSHI SHIKSHAK PRASHIKSHAN VIDYALAYA (Id: S-7654),Teacher Training
8709,Rajasthan,"SRI GOVIND SHIKSHAK PRASHIKSHAN COLLEGE BISAU, JHUNJHUNU (Id: S-12541)",Teacher Training
8710,Rajasthan,S.S. JAIN SUBODH MAHILA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA (Id: S-7613),Teacher Training
8711,Rajasthan,S.S. JAIN SUBODH MAHILA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA JAIPUR (Id: S-7612),Teacher Training
8712,Rajasthan,ST. FRANCES HOSPITAL AJMER (Id: S-5194),Nursing
8713,Rajasthan,S T INSTITUTE OF AERONAUTICS JAIPUR (Id: S-8944),Institutes under Ministries
8714,Rajasthan,ST. WILFRED'S INSTITUTE OF MANAGEMENT (Id: S-325),PGDM Institutes
