Sl.No,State_Name,Institution_Name,Institution_Type
216,Andhra Pradesh,"GBR Elementary Teacher Education, Anaparthy, East Godavari District - 533 342 (Id: S-13344)",Teacher Training
217,Andhra Pradesh,"G B R SCHOOL OF NURSING, ANANPARTHI, EAST GODAVARI (Id: S-12972)",Nursing
218,Andhra Pradesh,"GEERVANI SCHOOL OF NURSING, SRIPURAM COLONY, HYDERABAD (Id: S-13222)",Nursing
219,Andhra Pradesh,"Geethika D.Ed. College, D.No.15-129, Rami Reddypet, Piduguralla, Guntur-522413 (Id: S-13365)",Teacher Training
220,Andhra Pradesh,"GIFFARD MEMORIAL HOSPITAL, NUZVID, KRISHNA (Id: S-12998)",Nursing
221,Andhra Pradesh,GIFFORD MEMORIAL HOSPITAL OF 7TH DAY ADVENTISTS KRISHNA (Id: S-3501),Nursing
222,Andhra Pradesh,GIPDCEandT RAMANTHAPUR HYDERABAD (Id: S-525),Technical/Polytechnic
223,Andhra Pradesh,GIPDCEandT VISAKHAPATNAM (Id: S-526),Technical/Polytechnic
224,Andhra Pradesh,"GIRIJAS SCHOOL OF NURSING, GUDIWADA, KRISHNA (Id: S-13008)",Nursing
225,Andhra Pradesh,GITAM INSTITUTE OF FOREIGN TRADE (Id: S-13),Technical/Polytechnic
226,Andhra Pradesh,"G K REDDY SCHOOL OF NURSING, CHITTOOR (Id: S-13163)",Nursing
227,Andhra Pradesh,GLOBAL INSTITUTE OF ELEMENTARY TCHR. EDN. CHITTOOR (Id: S-5601),Teacher Training
228,Andhra Pradesh,"GLOBAL SCHOOL OF NURSING, JUBLLIE HILLS, HYDERABAD (Id: S-13217)",Nursing
229,Andhra Pradesh,"GLOBAL SCHOOL OF NURSING, VIJAYAWADA, KRISHNA (Id: S-13014)",Nursing
230,Andhra Pradesh,"G.M. College of Diploma in Education, No. 25/417-C2, Nandyal, Kurnool (Id: S-13406)",Teacher Training
231,Andhra Pradesh,GM DIPLOMA ON EDUCATION GM INSTITUTIONS FOR RURAL DEVELOPMENT HEALTH and EDUCATION SOCIETY KURNOOL (Id: S-5602),Teacher Training
232,Andhra Pradesh,GMR POLYTECHNIC MADANAPALLI (Id: S-529),Technical/Polytechnic
233,Andhra Pradesh,GMR POLYTECHNIC PADERU (Id: S-530),Technical/Polytechnic
234,Andhra Pradesh,GMR POLYTECHNIC SRISAILAM (Id: S-531),Technical/Polytechnic
235,Andhra Pradesh,GOKUL INSTITUTE OF TECHNOLOGY AND SCIENCES (Id: S-532),Technical/Polytechnic
236,Andhra Pradesh,"Gokul Teacher Training Institute, Gokul Nagar, Manugonda, Bye pass Road, Nalgonda (Id: S-13469)",Teacher Training
237,Andhra Pradesh,GORANTLA VENKATESWARLU BHARATAMMA PRAKASAM (Id: S-5603),Teacher Training
238,Andhra Pradesh,"Gourisetty Venkantaiah Memorial College of Elementary Teacher Education, No.3-7-619, Jagtial Road, Karimnagar District-505001 (Id: S-13448)",Teacher Training
239,Andhra Pradesh,"GOVERNMENT DIPLOMA IN EDUCATION COLLEGE AT ITDA BADHRACHALAM, KHAMMAM TRIBAL AREA (Id: S-13482)",Teacher Training
240,Andhra Pradesh,"GOVERNMENT DIPLOMA IN EDUCATION COLLEGE AT ITDA RAMPACHODAVARAM, EAST GODAVARI TRIBAL AREA (Id: S-13481)",Teacher Training
241,Andhra Pradesh,"GOVERNMENT GENERAL HOSPITAL, GUNTUR (Id: S-13033)",Nursing
242,Andhra Pradesh,"GOVERNMENT GENERAL HOSPITAL, KAKINADA, EAST GODAVARI (Id: S-12946)",Nursing
243,Andhra Pradesh,"GOVERNMENT GENERAL HOSPITAL, KARIMNAGAR (Id: S-13194)",Nursing
244,Andhra Pradesh,GOVERNMENT GENERAL HOSPITAL KURNOOL (Id: S-3503),Nursing
245,Andhra Pradesh,"GOVERNMENT GENERAL HOSPITAL, KURNOOL (Id: S-13124)",Nursing
246,Andhra Pradesh,"GOVERNMENT HEAD QRS HOSPITAL, ANANTHAPUR (Id: S-13096)",Nursing
247,Andhra Pradesh,"GOVERNMENT HEAD QRS HOSPITAL, BODHAN, NIZAMABAD (Id: S-13296)",Nursing
248,Andhra Pradesh,"GOVERNMENT HEAD QRS HOSPITAL, CHITTOOR (Id: S-13149)",Nursing
249,Andhra Pradesh,"GOVERNMENT HEAD QRS HOSPITAL, KHAMMAM (Id: S-13177)",Nursing
250,Andhra Pradesh,"GOVERNMENT HEAD QRTS, , NIZAMABAD (Id: S-13300)",Nursing
251,Andhra Pradesh,"GOVERNMENT POLYTECHNIC, ATMAKUR (Id: S-14078)",Technical/Polytechnic
252,Andhra Pradesh,"GOVT GENERAL HOSPITAL, VIJAYAWADA, KRISHNA (Id: S-13013)",Nursing
253,Andhra Pradesh,GOVT.INST.CERAMIC TECHNOLOGY GUDUR (Id: S-567),Technical/Polytechnic
254,Andhra Pradesh,GOVT INST OF TEXTILE TECH. GUNTUR (Id: S-534),Technical/Polytechnic
255,Andhra Pradesh,GOVT POLYTECHNIC ANANTHAPUR (Id: S-535),Technical/Polytechnic
256,Andhra Pradesh,GOVT POLYTECHNIC FOR MINORITIES GUNTUR (Id: S-537),Technical/Polytechnic
257,Andhra Pradesh,GOVT POLYTECHNIC FOR MINORITIES KURNOOL (Id: S-538),Technical/Polytechnic
258,Andhra Pradesh,GOVT POLYTECHNIC FOR WOMEN BHEEMUNIPATNAM (Id: S-539),Technical/Polytechnic
259,Andhra Pradesh,GOVT POLYTECHNIC FOR WOMEN CUDDAPAH (Id: S-540),Technical/Polytechnic
260,Andhra Pradesh,GOVT POLYTECHNIC FOR WOMEN GUNTUR (Id: S-541),Technical/Polytechnic
261,Andhra Pradesh,GOVT POLYTECHNIC FOR WOMEN HINDUPUR (Id: S-542),Technical/Polytechnic
262,Andhra Pradesh,GOVT POLYTECHNIC FOR WOMEN KAKINADA (Id: S-543),Technical/Polytechnic
263,Andhra Pradesh,GOVT POLYTECHNIC FOR WOMEN NANDIGAMA (Id: S-545),Technical/Polytechnic
264,Andhra Pradesh,GOVT POLYTECHNIC FOR WOMEN NELLORE (Id: S-546),Technical/Polytechnic
265,Andhra Pradesh,GOVT POLYTECHNIC FOR WOMEN PALAMANERU (Id: S-548),Technical/Polytechnic
266,Andhra Pradesh,GOVT POLYTECHNIC FOR WOMEN SRIKAKULAM (Id: S-549),Technical/Polytechnic
267,Andhra Pradesh,GOVT POLYTECHNIC GUDUR (Id: S-552),Technical/Polytechnic
268,Andhra Pradesh,GOVT POLYTECHNIC KOTHAGUDEM (Id: S-553),Technical/Polytechnic
269,Andhra Pradesh,GOVT POLYTECHNIC NARSIPATNAM (Id: S-556),Technical/Polytechnic
270,Andhra Pradesh,GOVT POLYTECHNIC NELLORE (Id: S-557),Technical/Polytechnic
271,Andhra Pradesh,GOVT POLYTECHNIC NIZAMABAD (Id: S-558),Technical/Polytechnic
272,Andhra Pradesh,GOVT POLYTECHNIC PRODDATUR (Id: S-559),Technical/Polytechnic
273,Andhra Pradesh,GOVT POLYTECHNIC SRIKAKULAM (Id: S-560),Technical/Polytechnic
274,Andhra Pradesh,GOVT POLYTECHNIC VIJAYAWADA (Id: S-561),Technical/Polytechnic
275,Andhra Pradesh,GOVT POLYTECHNIC VISAKHAPATNAM (Id: S-562),Technical/Polytechnic
276,Andhra Pradesh,GOVT POLYTECHNIC WARANGAL (Id: S-563),Technical/Polytechnic
277,Andhra Pradesh,"GOWTHAMI SCHOOL OF NURSING, KADAPA, CUDDAPAH (Id: S-13110)",Nursing
278,Andhra Pradesh,GPR INST OF PHARMACY KURNOOL (Id: S-571),Technical/Polytechnic
279,Andhra Pradesh,GRACE SCHOOL OF NURSING KRISHNA (Id: S-3504),Nursing
280,Andhra Pradesh,GRACE SCHOOL OF NURSING MAHABOOBNAGAR (Id: S-3505),Nursing
281,Andhra Pradesh,"GRACE SCHOOL OF NURSING, WANAPARTHI, MAHABOOBNAGAR (Id: S-13285)",Nursing
282,Andhra Pradesh,GRAVIS MEDI'S SCHOOL OF NURSING VISAKHAPATNAM (Id: S-3506),Nursing
283,Andhra Pradesh,"GRAVISMEDS SCHOOL OF NURSING, SEETHAMMADHARA, VISAKHAPATNAM (Id: S-12924)",Nursing
284,Andhra Pradesh,G S L SCHOOL OF NURSING EAST GODAWARI (Id: S-3498),Nursing
285,Andhra Pradesh,"G S L SCHOOL OF NURSING, RAJAHMUNDARY, EAST GODAVARI (Id: S-12964)",Nursing
286,Andhra Pradesh,G.S.RAO TEACHER TRAINING INSTITUTE TADIPUDI WEST GODAVARI (Id: S-5600),Teacher Training
287,Andhra Pradesh,"GTP College of Elementary Education for Women, Dirusumarru Road, Bheemavaram, West Godavari (Id: S-13353)",Teacher Training
288,Andhra Pradesh,G T R SCHOOL OF NURSING EAST GODAWARI (Id: S-3499),Nursing
289,Andhra Pradesh,"G T R SCHOOL OF NURSING, KAKINDA, EAST GODAVARI (Id: S-12966)",Nursing
290,Andhra Pradesh,"G T R SCHOOL OF NURSING, SIDDARTHA NAGAR, EAST GODAVARI (Id: S-12967)",Nursing
291,Andhra Pradesh,GUNTUPALLI VENKATESWARLU MEMORIAL POLYTECHNIC COLLEGE (Id: S-572),Technical/Polytechnic
292,Andhra Pradesh,"Gurujada College of Elementary Education, Pedapadu, Srikakulam (Id: S-13324)",Teacher Training
293,Andhra Pradesh,GURU NANAK BUSINESS SCHOOL (PGDM) (Id: S-14),PGDM Institutes
294,Andhra Pradesh,"GURUNANAK SCHOOL OF NURSING, KOTHAPET, HYDERABAD (Id: S-13243)",Nursing
295,Andhra Pradesh,GURU RAGHAVENDRA INSTITUTE OF PHARMACEUTICAL SCIENCES (Id: S-573),Technical/Polytechnic
296,Andhra Pradesh,HANNA TELUGU PANDIT COLEGE HANNA CHARITABLE TRUST EAST GODAVARI (Id: S-5604),Teacher Training
297,Andhra Pradesh,HARITHA SCHOOL OF NURSING EAST GODAWARI (Id: S-3508),Nursing
298,Andhra Pradesh,"HARITHA SCHOOL OF NURSING, KAKINADA, EAST GODAVARI (Id: S-12951)",Nursing
299,Andhra Pradesh,"HEALING TOUCH SCHOOL OF NURSING, SECUNDERABAD, HYDERABAD (Id: S-13231)",Nursing
300,Andhra Pradesh,"HELAPURI SCHOOL OF NURSING, ELURU, WEST GODAVARI (Id: S-12981)",Nursing
301,Andhra Pradesh,"HELP SCHOOL OF NURSING, GOVERNORPET, KRISHNA (Id: S-13001)",Nursing
302,Andhra Pradesh,HELP SCHOOL OF NURSING VIJAYWADA (Id: S-3510),Nursing
303,Andhra Pradesh,HINDI SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA CUDDAPAH (Id: S-5605),Teacher Training
304,Andhra Pradesh,HINDI SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA EAST GODAVARI (Id: S-5606),Teacher Training
305,Andhra Pradesh,HINDI SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA GANDHINAGAR VISAKHAPATNAM (Id: S-5607),Teacher Training
306,Andhra Pradesh,HINDI SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA PALAKONDA (Id: S-5608),Teacher Training
307,Andhra Pradesh,HINDI SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA PEDDAPALLI KARIMNAGAR (Id: S-5609),Teacher Training
308,Andhra Pradesh,HINDI SHIKSHAK PRASIKSHAN MAHAVIDYALAYA WEST GODAVARI (Id: S-5610),Teacher Training
309,Andhra Pradesh,"HOLY CROSS SCHOOL OF NURSING, RAMACHANDRAPURAM, MEDAK (Id: S-13287)",Nursing
310,Andhra Pradesh,"HOLY FATIMA SCHOOL OF NURSING, MURADNAGAR, HYDERABAD (Id: S-13224)",Nursing
311,Andhra Pradesh,"Hussainy College of Elementary Teacher Education, Venkatampeta, Duttaloor(M) Nellore District-524230 (Id: S-13385)",Teacher Training
312,Andhra Pradesh,HYDERABAD COLLEGE OF AVIATION TECHNOLOGY HYDERABAD (Id: S-8855),Institutes under Ministries
313,Andhra Pradesh,ICFAI FOUNDATION FOR HIGHER EDUCATION (Id: S-15),Technical/Polytechnic
314,Andhra Pradesh,"IMAGE SCHOOL OF NURSING, RAMACHANDRAPURAM, MEDAK (Id: S-13292)",Nursing
315,Andhra Pradesh,INDIAN INSTITUTE OF AEROSPACE TECHNOLOGY and MANAGEMENT SECUNDERABAD (Id: S-8856),Institutes under Ministries
316,Andhra Pradesh,"INDIAN INSTITUTE OF PACKAGING, HYDERABAD (Id: S-8857)",Institutes under Ministries
317,Andhra Pradesh,INDIAN INSTITUTE OF TOURISM AND TRAVEL MANAGEMENT (Id: S-574),Technical/Polytechnic
318,Andhra Pradesh,"INDIRA SCHOOL OF NURSING, VISAKHAPATNAM (Id: S-12940)",Nursing
319,Andhra Pradesh,INDO- AMERICAN SCHOOL OF NURSING HYDERABAD (Id: S-3514),Nursing
320,Andhra Pradesh,INFINITY BUSINESS SCHOOL (Id: S-16),PGDM Institutes
321,Andhra Pradesh,INSTITUTE OF ADVANCED MANAGEMENT EDUCATION AND ENTREPRENEURSHIP (Id: S-17),PGDM Institutes
322,Andhra Pradesh,INSTITUTE OF ADVANCED STUDY IN EDUCATION KURNOOL (Id: S-5616),Teacher Training
323,Andhra Pradesh,INSTITUTE OF AIRCRAFT MAINTENANCE ENGINEERING SECUNDERABAD (Id: S-8858),Institutes under Ministries
324,Andhra Pradesh,INSTITUTE OF BUSINESS MANAGEMENT (Id: S-18),PGDM Institutes
325,Andhra Pradesh,INSTITUTE OF MANAGEMENT TECHNOLOGY HYDERABAD (Id: S-577),Technical/Polytechnic
326,Andhra Pradesh,INSTITUTE OF PUBLIC ENTERPRICES (Id: S-20),Technical/Polytechnic
327,Andhra Pradesh,INTEGRAL INSTITUTE OF ADVANCED MANAGEMENT (IIAM) (Id: S-578),PGDM Institutes
328,Andhra Pradesh,ITM BUSINESS SCHOOL (Id: S-579),Technical/Polytechnic
329,Andhra Pradesh,"JANAPRIYA SCHOOL OF NURSING, KAKINADA, EAST GODAVARI (Id: S-12974)",Nursing
330,Andhra Pradesh,JANGAON INSTITUTE OF PHARMACEUTICAL SCIENCES (Id: S-581),Technical/Polytechnic
331,Andhra Pradesh,"JASWANTH SCHOOL OF NURSING, KOTHAPET, HYDERABAD (Id: S-13247)",Nursing
332,Andhra Pradesh,"Jawaharlal Nehru Elementary Teacher Education Institute,  Market Road, Vemulawada, Karimnagar-505302 (Id: S-13451)",Teacher Training
333,Andhra Pradesh,"JAYA SCHOOL OF NURSING, ALEXANDER ROAD, HYDERABAD (Id: S-13223)",Nursing
334,Andhra Pradesh,"JAYA SCHOOL OF NURSING, HANAMKONDA, WARANGAL (Id: S-13166)",Nursing
335,Andhra Pradesh,"JAYA SCHOOL OF NURSING, RAGHAVA RATNA TOWERS, HYDERABAD (Id: S-13204)",Nursing
336,Andhra Pradesh,JAYA SCHOOL OF NURSING WARANGAL (Id: S-3521),Nursing
337,Andhra Pradesh,"J D SCHOOL OF NURSING, KADAPA, CUDDAPAH (Id: S-13114)",Nursing
338,Andhra Pradesh,JEEVAN JYOTHI HOSPITAL SCHOOL OF NURSING ANANTAPUR (Id: S-3522),Nursing
339,Andhra Pradesh,"JEEVAN JYOTHI HOSPITAL SCHOOL OF NURSING, KAMALANAGAR, ANANTHAPUR (Id: S-13097)",Nursing
340,Andhra Pradesh,JESUS and MARY EDUCATIONAL SOCIETY (Id: S-582),Technical/Polytechnic
341,Andhra Pradesh,"J ESWARI BAI MEMORIAL SCHOOL OF NURSING, WEST MARREDPALLY, HYDERABAD (Id: S-13214)",Nursing
342,Andhra Pradesh,"J J SCHOOL OF NURSING, BOINPALLI, HYDERABAD (Id: S-13225)",Nursing
343,Andhra Pradesh,"Jnana Bharathi Elementary Teacher Training College (D.Ed.), Kalyanadurg (po) Ananthapur District - 515761 (Id: S-13400)",Teacher Training
344,Andhra Pradesh,J S M SCHOOL OF NURSING HYDERABAD (Id: S-3517),Nursing
345,Andhra Pradesh,"J S M SCHOOL OF NURSING, KALYAN NAGAR, HYDERABAD (Id: S-13200)",Nursing
346,Andhra Pradesh,"J S SCHOOL OF NURSING, ONGOLE, PRAKASAM (Id: S-13077)",Nursing
347,Andhra Pradesh,J S SCHOOL OF NURSING PRAKASAM (Id: S-3518),Nursing
348,Andhra Pradesh,J.V.R.R. ELEMENTARY TEACHER EDUCATION LAKSHMI KANTHA REDDY ESTATE KURNOOL (Id: S-5617),Teacher Training
349,Andhra Pradesh,"Jyothi College of Elementary Teacher Education, Tangallapally, Sircilla, Karimnagar (Id: S-13445)",Teacher Training
350,Andhra Pradesh,"JYOTHI SCHOOL OF NURSING, HYDERABAD (Id: S-13278)",Nursing
351,Andhra Pradesh,JYOTHI SCHOOL OF NURSING NALGONDA (Id: S-3523),Nursing
352,Andhra Pradesh,"JYOTHI SCHOOL OF NURSING, TADEPALLIGUDEM, WEST GODAVARI (Id: S-12988)",Nursing
353,Andhra Pradesh,KAKINADA INSTITUE OF TECHNOLOGICAL SCIENCES (Id: S-586),Technical/Polytechnic
354,Andhra Pradesh,KAKINADA TEACHER TRAINING INSTITUTE SARVODAYA EDUCATIONAL SOCIETY EAST GODAVARI (Id: S-5619),Teacher Training
355,Andhra Pradesh,"Kamala D.Ed. College, Markapur, Prakasam (Id: S-13378)",Teacher Training
356,Andhra Pradesh,"KAMALA NEHRU HOSPITAL, NAGARJUNASAGAR, NALGONDA (Id: S-13310)",Nursing
357,Andhra Pradesh,"KAMINENI SCHOOL OF NURSING, L.B. NAGAR, HYDERABAD (Id: S-13245)",Nursing
358,Andhra Pradesh,"KAMINENI SCHOOL OF NURSING, SREEPURAM, NALGONDA (Id: S-13305)",Nursing
359,Andhra Pradesh,KARRI SATYANARAYANA REDDY TELEGU PANDIT TRANING CO SRI LAKSHMI MEMORIAL COTTAGE WEST GODAVARI (Id: S-5620),Teacher Training
360,Andhra Pradesh,KARTHIKEYAN INSTITUTE OF MANAGEMNT SCIENCES (Id: S-22),PGDM Institutes
361,Andhra Pradesh,"KARUNA SCHOOL OF NURSING, HAYATNAGAR, HYDERABAD (Id: S-13272)",Nursing
362,Andhra Pradesh,"KARUNA SCHOOL OF NURSING, PALLAMRAJU NAGAR, EAST GODAVARI (Id: S-12968)",Nursing
363,Andhra Pradesh,"KARUNA SCHOOL OF NURSING, TANUKU, WEST GODAVARI (Id: S-12987)",Nursing
364,Andhra Pradesh,"Karunodaya College of Education, H.No.1-129/1-A, Hydershakote (V) Rangareddy (Id: S-13433)",Teacher Training
365,Andhra Pradesh,KASTURBA SCHOOL OF NURSING EAST GODAVARI (Id: S-3527),Nursing
366,Andhra Pradesh,"KASTURBA SCHOOL OF NURSING, RAJAHMUNDRY, EAST GODAVARI (Id: S-12950)",Nursing
367,Andhra Pradesh,"KASTURI SCHOOL OF NURSING, DILSUKNAGAR, HYDERABAD (Id: S-13244)",Nursing
368,Andhra Pradesh,"KATURI SCHOOL OF NURSING, KATURI NAGAR, GUNTUR (Id: S-13055)",Nursing
369,Andhra Pradesh,KAVURI SUBBA RAO SCHOOL OF NURSING GUNTUR (Id: S-3529),Nursing
370,Andhra Pradesh,"KAVURI SUBBA RAO SCHOOL OF NURSING, KOTHAPET, GUNTUR (Id: S-13045)",Nursing
371,Andhra Pradesh,"K.C. Narayana Teachers Training College, 20/184, Hanumesh Nagar, Guntakal, Anantapur District - 515801 (Id: S-13399)",Teacher Training
372,Andhra Pradesh,KES POLYTECHNIC FOR WOMEN (Id: S-588),Technical/Polytechnic
373,Andhra Pradesh,KHAJA GARIB NAWAZ EDUNL SOCIETY SHAIK HASSAN AHMED HINIDI GUNTUR (Id: S-5621),Teacher Training
374,Andhra Pradesh,"Khasim Memorial Institute of Elementary Teacher Education, Court Street, Vishwanadhapuram, Podili, Prakasam District-523240 (Id: S-13381)",Teacher Training
375,Andhra Pradesh,"Khatija Khatoon Diploma College of Education,(D.Ed.,) Vempahad (Vill) Nidmanoor, Nalgonda (Id: S-13470)",Teacher Training
376,Andhra Pradesh,"K H K SCHOOL OF NURSING, SANA STREET, SRIKAKULAM (Id: S-12916)",Nursing
377,Andhra Pradesh,"KIMS SCHOOL OF NURSING, AMALAPURAM, EAST GODAVARI (Id: S-12970)",Nursing
378,Andhra Pradesh,"KIMS SCHOOL OF NURSING, MINISTERS ROAD, HYDERABAD (Id: S-13235)",Nursing
379,Andhra Pradesh,KING GEORGE HOSPITAL SCHOOL OF NURSING VISAKHAPATNAM (Id: S-3530),Nursing
380,Andhra Pradesh,"KING GEORGE HOSPITAL, VISAKHAPATNAM (Id: S-12919)",Nursing
381,Andhra Pradesh,"KINNERA SCHOOL OF NURSING, GUTTALA BAZAR, KHAMMAM (Id: S-13186)",Nursing
382,Andhra Pradesh,KODADA INSTITUTE OF TECHNOLOGY and SCIENCE FOR WOMEN (Id: S-589),Technical/Polytechnic
383,Andhra Pradesh,"KONASEEMA SCHOOL OF NURSING, AMMALAPURAM, EAST GODAVARI (Id: S-12965)",Nursing
384,Andhra Pradesh,KONDAPALLI PYDITHALLI NAIDU COL. OF ELE. TCHR. EDN VIZIANAGARAM (Id: S-5622),Teacher Training
385,Andhra Pradesh,"KONDRAGUNTA SCHOOL OF NURSING, KALIDASVARI VEEDHI, PRAKASAM (Id: S-13073)",Nursing
386,Andhra Pradesh,KOUSALYA TELUGU PANDIT TRNG COURSE KARIMNAGAR (Id: S-5623),Teacher Training
387,Andhra Pradesh,"KPK SCHOOL OF NURSING, ANANTHAPUR (Id: S-13098)",Nursing
388,Andhra Pradesh,"KRISHNAVENI SCHOOL OF NURSING, NARASARAOPET, GUNTUR (Id: S-13062)",Nursing
389,Andhra Pradesh,KRUSHI VIDYA NIKETAN DEPLAM IN EDUN KRUSHI VIDYA NIKETAN ELEMENTARY KURNOOL (Id: S-5624),Teacher Training
390,Andhra Pradesh,"KUGLER HOSPITAL and SCHOOL OF NURSING, , GUNTUR (Id: S-13037)",Nursing
391,Andhra Pradesh,KUGLER HOSPITAL SCHOOL OF NURSING GUNTUR (Id: S-3532),Nursing
392,Andhra Pradesh,"KUNTHIDEVI MAHILABHYUDAYA SCHOOL OF NURSING, SATRAMPADU, WEST GODAVARI (Id: S-12985)",Nursing
393,Andhra Pradesh,KUNTHIDEVI MAHILABHYUDAYA SCHOOL OF NURSING WEST GODAVARI (Id: S-3533),Nursing
394,Andhra Pradesh,K.V.C.M NRI POLITECHNIC (Id: S-585),Technical/Polytechnic
395,Andhra Pradesh,"K V R INSTITUTE OF PARAMEDICIAL SCIENCES SCHOOL OF NURSING, PENAMALURU, KRISHNA (Id: S-13006)",Nursing
396,Andhra Pradesh,"LAKSHIM SCHOOL OF NURSING, SOMAJIGUDA, HYDERABAD (Id: S-13218)",Nursing
397,Andhra Pradesh,"LAKSHMI SCHOOL OF NURSING, DASANNAPET, VIZIANAGARAM (Id: S-12942)",Nursing
398,Andhra Pradesh,"LAKSHMI VENKATESWARA S O N BALAJI NAGAR, HINDUPUR, ANANTHAPUR (Id: S-13094)",Nursing
399,Andhra Pradesh,"LAVANYA SCHOOL OF NURSING, KAKINADA, EAST GODAVARI (Id: S-12977)",Nursing
400,Andhra Pradesh,LAXMI SCHOOL OF NURSING VIZIANAGARAM (Id: S-3535),Nursing
401,Andhra Pradesh,"LAXMI SRINIVASA SCHOOL OF NURSING, ECIL, HYDERABAD (Id: S-13274)",Nursing
402,Andhra Pradesh,"LAXMI SRINIVASA SCHOOL OF NURSING, KEESARA MANDAL, HYDERABAD (Id: S-13264)",Nursing
403,Andhra Pradesh,LAZARUS SCHOOL OF NURSING VISAKHAPATNAM (Id: S-3536),Nursing
404,Andhra Pradesh,"LAZARUS SCHOOL OF NURSING, WALTAIR MAIN ROAD, VISAKHAPATNAM (Id: S-12938)",Nursing
405,Andhra Pradesh,LEELA KRUSHNA BABUJI POLYTECHNIC (Id: S-590),Technical/Polytechnic
406,Andhra Pradesh,"LIFE LINE SCHOOL OF NURSING, HANUMAKONDA, WARANGAL (Id: S-13172)",Nursing
407,Andhra Pradesh,LITTLE FLOWER ELEMENTARY TCHR. EDN. INSTN. FOR GIR ANANTAPUR (Id: S-5625),Teacher Training
408,Andhra Pradesh,LOYOLA POLYTECHNIC PULLUVENDLA (Id: S-591),Technical/Polytechnic
409,Andhra Pradesh,MADANAPALLE INSTITUTE OF TECHNOLOGY and SCIENCE (Id: S-592),Technical/Polytechnic
410,Andhra Pradesh,MADDALA RAMAKRISHNAMMA POLYTECHNIC (Id: S-593),Technical/Polytechnic
411,Andhra Pradesh,"Madhu College of Elementary Education, Old S.B.I. Building, Main Road, Elamanchili, Visakhapatnam-531055 (Id: S-13331)",Teacher Training
412,Andhra Pradesh,"MADHURI SCHOOL OF NURSING, SHYAMALANAGAR, GUNTUR (Id: S-13057)",Nursing
413,Andhra Pradesh,"MADHU SCHOOL OF NURSING, BHAGYANAGAR, PRAKASAM (Id: S-13067)",Nursing
414,Andhra Pradesh,MADHU SCHOOL OF NURSING PRAKASAM (Id: S-3543),Nursing
415,Andhra Pradesh,MAHARAJA ANANDA GAJAPATHI RAJU GOVERNMENT POLYTECHNIC (Id: S-594),Technical/Polytechnic
416,Andhra Pradesh,"Malineni Lakshmaiah D.Ed., College, Kanummalla (V), Singarayakonda, Prakasam District (Id: S-13380)",Teacher Training
417,Andhra Pradesh,"MALYADRI SCHOOL OF NURSING, A.P.H.B. COLONY, NELLORE (Id: S-13026)",Nursing
418,Andhra Pradesh,MALYADRI SCHOOL OF NURSING NELLORE (Id: S-3544),Nursing
419,Andhra Pradesh,MAMATHA SCHOOL OF NURSING GUNTUR (Id: S-3546),Nursing
420,Andhra Pradesh,"MAMATHA SCHOOL OF NURSING, NAZERPET, GUNTUR (Id: S-13058)",Nursing
421,Andhra Pradesh,"MAMATHA SCHOOL OF NURSING, ROTARY NAGAR, KHAMMAM (Id: S-13179)",Nursing
422,Andhra Pradesh,"MAMATHA SCHOOL OF NURSING, VANSATHALIPURAM, HYDERABAD (Id: S-13252)",Nursing
423,Andhra Pradesh,"MANGAMMA MEMORIAL SCHOOL OF NURSING, HYDERABAD (Id: S-13238)",Nursing
424,Andhra Pradesh,"MARIYAMMA SCHOOL OF NURSING, VANASTHALIPURAM, HYDERABAD (Id: S-13271)",Nursing
425,Andhra Pradesh,"MARUTHI PARA MEDICAL ACADEMY SCHOOL OF NURSING, BHADRACHALAM, KHAMMAM (Id: S-13185)",Nursing
426,Andhra Pradesh,MARY LOTT LYLES HOSP. CHITTOOR (Id: S-3551),Nursing
427,Andhra Pradesh,MARY MATHA SCHOOL OF NURSING KURNOOL (Id: S-3552),Nursing
428,Andhra Pradesh,MASS SCHOOL OF NURSING ANANTHAPUR- (Id: S-3553),Nursing
429,Andhra Pradesh,"MASS SCHOOL OF NURSING, LAXMINAGAR, ANANTHAPUR (Id: S-13093)",Nursing
430,Andhra Pradesh,MBTS GOVT POLYTECHNIC GUNTUR (Id: S-595),Technical/Polytechnic
431,Andhra Pradesh,M.C.CORMIC HINDI SISHAK PRASISHAN MAHAVIDYALAYA WEST GODAVARI (Id: S-5626),Teacher Training
432,Andhra Pradesh,"Medarametla Anjamma Mastan Rao College of Elementary Teacher Education, DNO.3-24-22/10, Kesanupalli, Narasaraopet(M) Guntur. (christian) (Id: S-13362)",Teacher Training
433,Andhra Pradesh,"MEDICITI SCHOOL OF NURSING, GHANPUR, HYDERABAD (Id: S-13251)",Nursing
434,Andhra Pradesh,"MEGACITY SCHOOL OF NURSING, HYDERABAD (Id: S-13277)",Nursing
435,Andhra Pradesh,"MEGHANA SCHOOL OF NURSING, SAJJAPURAM, WEST GODAVARI (Id: S-12991)",Nursing
436,Andhra Pradesh,MERIDIAN BUSINESS SCHOOL (Id: S-23),PGDM Institutes
437,Andhra Pradesh,"M G M HOSPITAL, , WARANGAL (Id: S-13168)",Nursing
